id_car,Licenceplate
C0003,OYX5733
C0009,PSB2045
C0013,IYM7064
C0018,YLD1983
C0021,BWF1374
C0027,EIR5315
C0037,UFN9498
C0039,HZO3708
C0041,CAI4363
C0051,LVE8052
C0058,NXV4755
C0061,EMU1240
C0071,BLX3199
C0081,XVE1253
C0100,QOL6794
C0103,MIO6555
C0115,GAP6608
C0135,PJW5910
C0170,DOL7792
C0177,EPX9587
C0179,ATC1585
C0182,TSF9747
C0193,WMB2826
C0196,LJD4302
C0200,OWX2929
C0209,WNE7138
C0213,TLX2266
C0217,JSD7034
C0229,GQU2184
C0254,WNA5153
C0259,ZGV4616
C0264,IEM5684
C0269,IWA7195
C0273,SLW6643
C0282,TVA8813
C0292,TZB0285
C0299,XBM2825
C0307,YPJ3681
C0311,NLW7343
C0315,JEA8946
C0321,HND0520
C0327,LAT6060
C0336,NKI9189
C0339,GMH1023
C0341,XLK0332
C0344,MAP9277
C0356,YCX4981
C0365,FGT3261
C0373,SCE7245
C0380,AEG0283
C0387,WBY9069
C0394,CHT2006
C0401,PSW0162
C0408,LNI5942
C0415,FGX0379
C0422,RFG8150
C0429,KQJ0902
C0432,IKZ0022
C0434,EYU0055
C0436,UMI6864
C0441,GLO3074
C0443,GZU7354
C0448,GBI2290
C0450,CFX6093
C0460,DMT3472
C0462,ICN0586
C0472,NJZ2375
C0474,UVL2515
C0486,KSP6185
C0503,AQP9086
C0540,YGW4501
C0548,BQX0187
C0562,TRG0410
C0565,VAL5780
C0574,XBN5778
C0577,TVA5301
C0582,CDA9580
C0586,AQO3880
C0589,CTH7351
C0598,BOG8509
C0601,HTS3728
C0606,ZDY4904
C0611,NQD7245
C0616,TMJ4356
C0621,BKF1976
C0626,TVJ9062
C0632,YMF7381
C0638,IZT2034
C0644,DVE3945
C0650,ZJW0003
C0656,IAW4618
C0682,ONI5910
C0687,ERT7934
C0697,ILD6402
C0717,UJQ2550
C0725,JQA3097
C0746,LEU4466
C0751,WLH9830
C0756,JVK7806
C0772,KUX5203
C0778,AXD9919
C0786,FZE3059
C0794,QGN4394
C0893,QFG5409
C0902,MCP3824
C0913,SDN8037
C0930,JVW8390
