jobid1,id_seller,id_car,car_value,car_sold,car_transition_date
1,S097,C0000,14976,15576,2010-11-01
2,S054,C0001,11133,11733,2010-03-12
3,S078,C0002,12803,13403,2010-06-11
4,S029,C0003,16014,16614,2010-10-13
5,S047,C0004,17274,17874,2010-04-27
6,S099,C0005,16225,16825,2010-03-24
7,S020,C0006,10845,11445,2010-10-08
8,S093,C0007,11375,11975,2011-01-07
9,S045,C0008,10960,11160,2010-07-02
10,S023,C0009,18616,18816,2011-01-21
11,S033,C0010,19999,20199,2010-10-22
12,S039,C0011,11185,11385,2010-12-13
13,S015,C0012,11407,11607,2010-08-28
14,S061,C0013,17571,17771,2010-08-17
15,S051,C0014,15058,15258,2010-12-11
16,S079,C0015,13868,14068,2010-07-17
17,S036,C0016,14518,14718,2010-07-21
18,S082,C0017,13380,13580,2010-05-29
19,S010,C0018,16309,16509,2010-05-22
20,S089,C0019,15107,15307,2010-07-08
21,S042,C0020,18071,18271,2010-05-24
22,S063,C0021,18005,18205,2010-10-16
23,S006,C0022,14412,14612,2010-12-12
24,S074,C0023,17700,17900,2010-04-02
25,S056,C0024,16686,16886,2010-07-13
26,S071,C0025,17130,18130,2010-10-18
27,S049,C0026,13667,14667,2010-06-12
28,S062,C0027,14812,15812,2010-03-28
29,S093,C0028,15108,16108,2010-02-08
30,S053,C0029,12636,13636,2010-09-26
31,S006,C0030,12287,13287,2010-04-04
32,S072,C0031,18049,19049,2010-08-15
33,S058,C0032,11149,12149,2010-10-22
34,S003,C0033,19663,20663,2010-06-12
35,S018,C0034,10420,11420,2010-03-02
36,S087,C0035,14705,15705,2010-11-21
37,S056,C0036,13328,14328,2010-04-24
38,S086,C0037,15863,16863,2010-02-27
39,S040,C0038,15710,16710,2010-11-13
40,S097,C0039,14025,15025,2010-07-19
41,S087,C0040,13888,14344,2010-05-16
42,S060,C0041,13935,14391,2010-07-10
43,S018,C0042,14614,15070,2010-08-16
44,S055,C0043,14128,14584,2010-09-16
45,S038,C0044,13899,14355,2010-09-06
46,S011,C0045,16636,17092,2011-01-05
47,S034,C0046,18616,19072,2010-09-19
48,S029,C0047,19693,20149,2010-06-09
49,S051,C0048,10683,11139,2010-08-29
50,S023,C0049,19407,19863,2010-05-11
51,S032,C0050,17905,18361,2010-09-30
52,S043,C0051,10847,11303,2010-12-26
53,S025,C0052,13073,13529,2010-07-10
54,S000,C0053,17508,17964,2010-10-09
55,S066,C0054,17123,17690,2010-02-19
56,S044,C0055,18342,18909,2010-05-25
57,S041,C0056,17115,17682,2010-09-23
58,S064,C0057,18770,19337,2010-12-30
59,S051,C0058,16850,17417,2010-05-27
60,S055,C0059,12343,12910,2010-03-17
61,S095,C0060,16940,17507,2010-05-17
62,S041,C0061,16553,17120,2011-01-18
63,S029,C0062,13466,14033,2010-06-28
64,S055,C0063,14943,15510,2010-05-31
65,S011,C0064,19750,20317,2010-11-13
66,S074,C0065,15090,15657,2011-01-30
67,S080,C0066,16070,17303,2010-08-26
68,S082,C0067,19603,20836,2010-03-29
69,S097,C0068,16593,17826,2010-06-26
70,S006,C0069,18769,20002,2010-03-16
71,S099,C0070,16561,17794,2010-03-04
72,S088,C0071,18747,19980,2011-01-21
73,S069,C0072,14928,16161,2011-02-03
74,S052,C0073,13632,14865,2010-05-18
75,S086,C0074,19672,20905,2010-09-29
76,S017,C0075,16966,18199,2011-01-15
77,S087,C0076,10533,11766,2010-07-11
78,S082,C0077,10709,11942,2010-09-24
79,S051,C0078,11329,12562,2010-12-14
80,S030,C0079,16343,17576,2010-12-20
81,S089,C0080,10218,11111,2010-09-28
82,S093,C0081,19148,20041,2010-04-28
83,S062,C0082,11194,12087,2010-12-18
84,S018,C0083,13219,14112,2010-09-02
85,S015,C0084,10502,11395,2010-03-31
86,S047,C0085,18101,18994,2010-07-26
87,S001,C0086,15463,16356,2010-10-16
88,S095,C0087,18629,19522,2010-11-03
89,S078,C0088,16937,17830,2010-12-31
90,S086,C0089,17847,18740,2010-07-14
91,S028,C0090,13804,14697,2010-02-06
92,S086,C0091,18435,20458,2011-01-27
93,S045,C0092,18541,20564,2010-05-28
94,S098,C0093,10623,12646,2010-09-16
95,S064,C0094,12880,14903,2011-01-02
96,S082,C0095,13379,15402,2010-11-18
97,S052,C0096,10467,12490,2010-09-06
98,S083,C0097,15570,17593,2010-07-01
99,S056,C0098,11839,13862,2010-06-25
100,S043,C0099,18133,20156,2010-05-16
101,S033,C0100,18096,20119,2011-05-10
102,S053,C0101,18604,20627,2011-03-15
103,S050,C0102,13417,15440,2012-01-13
104,S058,C0103,15366,17389,2011-05-31
105,S012,C0104,12665,14688,2011-12-04
106,S079,C0105,15672,17695,2011-08-29
107,S025,C0106,14254,16277,2011-02-27
108,S044,C0107,11545,11698,2011-06-07
109,S094,C0108,14309,14462,2012-02-02
110,S067,C0109,19770,19923,2011-02-20
111,S091,C0110,10241,10394,2011-08-06
112,S083,C0111,14293,14446,2011-04-11
113,S075,C0112,15222,15375,2011-11-03
114,S075,C0113,13895,14048,2011-10-08
115,S082,C0114,15365,15518,2011-04-19
116,S034,C0115,14044,14197,2011-04-25
117,S031,C0116,15325,15478,2012-01-10
118,S072,C0117,17850,18003,2011-08-10
119,S052,C0118,17800,17953,2011-06-27
120,S057,C0119,16705,16858,2011-09-26
121,S003,C0120,17815,17968,2012-01-04
122,S070,C0121,10023,10176,2011-06-22
123,S095,C0122,15425,15578,2011-08-01
124,S067,C0123,12711,12864,2012-02-02
125,S096,C0124,18330,18483,2011-06-21
126,S079,C0125,14869,15022,2011-03-24
127,S042,C0126,19479,19632,2011-11-14
128,S075,C0127,18758,19685,2011-08-17
129,S096,C0128,13629,14556,2011-03-28
130,S057,C0129,14591,15518,2011-05-21
131,S015,C0130,15141,16068,2011-04-23
132,S057,C0131,12893,13820,2011-11-23
133,S083,C0132,15860,16787,2011-05-29
134,S002,C0133,16933,17860,2011-04-18
135,S047,C0134,15427,16354,2011-04-10
136,S081,C0135,12392,13319,2012-01-13
137,S099,C0136,16694,17621,2012-01-02
138,S056,C0137,10005,10932,2011-03-24
139,S063,C0138,10931,11858,2011-03-23
140,S036,C0139,18907,19834,2011-10-25
141,S085,C0140,18581,18730,2011-09-23
142,S007,C0141,14632,14781,2011-07-18
143,S087,C0142,11711,11860,2011-05-01
144,S084,C0143,16870,17019,2011-03-22
145,S055,C0144,19671,19820,2011-03-14
146,S036,C0145,11491,11640,2012-01-18
147,S041,C0146,12375,12524,2011-12-29
148,S093,C0147,11136,11285,2011-05-21
149,S070,C0148,16630,16779,2012-01-11
150,S006,C0149,12030,12179,2011-12-12
151,S052,C0150,14766,14915,2012-01-30
152,S074,C0151,10790,10939,2011-02-05
153,S025,C0152,19451,19600,2011-12-12
154,S026,C0153,18747,18896,2012-01-12
155,S048,C0154,10671,10820,2011-05-08
156,S035,C0155,12994,14039,2011-08-02
157,S087,C0156,10806,11851,2011-03-18
158,S098,C0157,12851,13896,2011-08-23
159,S059,C0158,14057,15102,2011-06-16
160,S085,C0159,11243,12288,2011-03-25
161,S070,C0160,19688,20733,2011-10-10
162,S039,C0161,15834,16879,2011-02-19
163,S070,C0162,17595,18640,2011-10-04
164,S065,C0163,12526,13571,2011-06-08
165,S015,C0164,11349,12394,2011-07-08
166,S078,C0165,12791,13836,2011-07-26
167,S003,C0166,12361,13406,2011-11-13
168,S027,C0167,16609,17654,2011-09-16
169,S076,C0168,12813,13858,2011-11-14
170,S059,C0169,10245,11290,2011-09-22
171,S034,C0170,14946,15991,2011-12-22
172,S030,C0171,15171,16216,2011-02-13
173,S005,C0172,10338,11383,2012-01-03
174,S066,C0173,12894,13939,2011-04-02
175,S084,C0174,12255,12787,2011-05-19
176,S062,C0175,19331,19863,2011-09-13
177,S065,C0176,11271,11803,2011-06-08
178,S005,C0177,15922,16454,2011-05-19
179,S075,C0178,11551,12083,2011-02-21
180,S090,C0179,19655,20187,2011-05-04
181,S051,C0180,12123,12655,2011-11-24
182,S060,C0181,12547,13079,2011-11-14
183,S051,C0182,13759,14291,2012-01-22
184,S097,C0183,19772,20304,2012-01-21
185,S014,C0184,19012,19544,2011-07-11
186,S052,C0185,15808,16340,2012-01-10
187,S000,C0186,18564,19096,2012-01-28
188,S081,C0187,10721,11253,2012-01-12
189,S029,C0188,14870,15402,2011-04-15
190,S040,C0189,18850,19382,2011-05-15
191,S069,C0190,18150,18802,2011-12-17
192,S032,C0191,19271,19923,2011-04-27
193,S045,C0192,10264,10916,2011-08-23
194,S078,C0193,13198,13850,2011-10-30
195,S034,C0194,19139,19791,2011-12-08
196,S090,C0195,17359,18011,2011-06-03
197,S007,C0196,12338,12990,2011-10-21
198,S016,C0197,11148,11800,2011-12-18
199,S005,C0198,16735,17387,2011-03-03
200,S055,C0199,14864,15516,2013-01-18
201,S081,C0200,14487,15139,2012-04-14
202,S085,C0201,13172,13824,2012-02-07
203,S036,C0202,18395,19047,2012-04-12
204,S061,C0203,14326,14978,2012-05-12
205,S021,C0204,16060,16712,2012-09-10
206,S095,C0205,17457,18109,2012-02-24
207,S072,C0206,18112,18764,2013-01-20
208,S075,C0207,11224,11876,2012-08-20
209,S005,C0208,11460,12441,2012-05-24
210,S089,C0209,11411,12392,2012-07-23
211,S028,C0210,19716,20697,2012-12-07
212,S004,C0211,14520,15501,2012-04-29
213,S005,C0212,13941,14922,2012-10-10
214,S094,C0213,17583,18564,2012-11-21
215,S095,C0214,18726,19707,2012-09-23
216,S029,C0215,12428,13409,2012-05-13
217,S038,C0216,16460,17441,2012-08-13
218,S076,C0217,17680,18661,2012-04-24
219,S085,C0218,15323,16304,2012-09-08
220,S080,C0219,18183,19164,2012-12-25
221,S068,C0220,12740,13721,2012-10-07
222,S038,C0221,19355,20336,2012-04-29
223,S095,C0222,18801,19782,2012-04-13
224,S047,C0223,11415,12151,2012-07-22
225,S036,C0224,13191,13927,2012-04-17
226,S049,C0225,10104,10840,2012-11-09
227,S099,C0226,18500,19236,2012-06-05
228,S009,C0227,14634,15370,2012-12-16
229,S060,C0228,17192,17928,2012-04-08
230,S026,C0229,14861,15597,2012-12-22
231,S081,C0230,17688,18424,2012-06-13
232,S061,C0231,18870,19606,2012-08-09
233,S008,C0232,15419,16155,2012-05-14
234,S082,C0233,14169,14905,2012-03-13
235,S024,C0234,18060,18796,2012-12-28
236,S084,C0235,10337,11073,2012-10-29
237,S062,C0236,10667,11403,2012-05-22
238,S027,C0237,16755,17491,2012-10-29
239,S001,C0238,17432,18168,2012-03-08
240,S079,C0239,10351,11087,2012-04-18
241,S068,C0240,16518,17254,2012-07-17
242,S022,C0241,17335,17658,2012-05-17
243,S062,C0242,10507,10830,2012-03-29
244,S049,C0243,16180,16503,2012-11-22
245,S060,C0244,16113,16436,2012-10-16
246,S064,C0245,11283,11606,2012-12-19
247,S039,C0246,12885,13208,2012-04-27
248,S018,C0247,18239,18562,2012-08-30
249,S011,C0248,18144,18467,2012-05-18
250,S042,C0249,15294,15617,2012-05-19
